Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,valid_time
55.0,10.5,22439708.0,57946732.0,111332140.0,0.37127367,0.36495513,0.33473748,0.37112236,0.35812023,0.3184411,279.71838,280.8787,285.60663,0.015131461,0.023521548,0.073830694,2025-12-01
55.0,10.6,22476206.0,57983484.0,111310340.0,0.37106133,0.36482492,0.33438897,0.37099394,0.35806477,0.3184849,279.7052,280.8779,285.59637,0.015119138,0.023586562,0.07385559,2025-12-01
55.0,11.999999999999995,24631480.0,60494504.0,119752570.0,0.3657786,0.36488038,0.33801714,0.36631584,0.36031595,0.3248532,279.50778,280.63635,285.3187,0.011303361,0.018314151,0.05610075,2025-12-01
55.0,12.099999999999994,24712708.0,60590810.0,119974560.0,0.36592293,0.36538237,0.33950216,0.3664112,0.3606257,0.32549262,279.51706,280.64008,285.30548,0.011414471,0.018848455,0.05562462,2025-12-01
55.0,12.299999999999994,25029008.0,61268530.0,121889250.0,0.24389839,0.2445465,0.22852498,0.2469991,0.24324799,0.21841627,279.60583,280.68018,285.27826,0.010850537,0.020912712,0.055053104,2025-12-01
55.0,12.399999999999993,25029008.0,61268530.0,121889250.0,0.24389839,0.2445465,0.22852498,0.2469991,0.24324799,0.21841627,279.60583,280.68018,285.27826,0.010850537,0.020912712,0.055053104,2025-12-01
55.0,14.999999999999984,25939800.0,65538340.0,135775140.0,0.3547001,0.36117706,0.31525838,0.35373688,0.3567459,0.29957333,279.5453,280.7796,285.0663,0.01096804,0.028349979,0.059966918,2025-12-01
55.0,15.099999999999984,25939800.0,65538340.0,135775140.0,0.3547001,0.36117706,0.31525838,0.35373688,0.3567459,0.29957333,279.5453,280.7796,285.0663,0.01096804,0.028349979,0.059966918,2025-12-01
55.0,21.300000000000054,20892622.0,59299070.0,132384820.0,0.39667192,0.38189545,0.38030365,0.39702162,0.3861679,0.37827376,277.46725,278.50433,284.10266,0.023027485,0.015608986,0.05178085,2025-12-01
55.0,21.400000000000055,20800414.0,59549576.0,132559220.0,0.39558092,0.3815333,0.37606713,0.39566803,0.38579914,0.37289676,277.47824,278.49542,284.15112,0.021066336,0.015204418,0.050496496,2025-12-01
55.0,21.500000000000057,20678158.0,59903656.0,132792616.0,0.39398193,0.38104656,0.36891225,0.39370155,0.3853007,0.3638537,277.48938,278.4867,284.2225,0.018326716,0.014659982,0.04873927,2025-12-01
55.0,21.60000000000006,20555652.0,60082520.0,132271000.0,0.39344278,0.38105774,0.36775208,0.3930041,0.3852778,0.3622717,277.48337,278.4705,284.24695,0.017034533,0.014652584,0.048561335,2025-12-01
55.0,21.70000000000006,20432948.0,60218624.0,131565460.0,0.39316878,0.38105112,0.3671752,0.3925953,0.38520813,0.36130401,277.47083,278.45316,284.26306,0.016095454,0.014775064,0.04876785,2025-12-01
55.0,21.80000000000006,20310640.0,60285870.0,130567030.0,0.39365324,0.38143107,0.37105635,0.39314017,0.3858968,0.36710775,277.43958,278.41248,284.22778,0.01571605,0.015115153,0.049592286,2025-12-01
55.0,21.900000000000063,20183126.0,60337690.0,129567280.0,0.3940805,0.38159588,0.3742228,0.39359665,0.38637492,0.37179172,277.4094,278.37463,284.20163,0.015315953,0.015440207,0.050422005,2025-12-01
55.0,22.000000000000064,20015652.0,60258900.0,128552424.0,0.39451918,0.38120472,0.37751672,0.39390692,0.38589326,0.37638953,277.3679,278.327,284.17712,0.014742496,0.015638802,0.051312268,2025-12-01
55.0,22.100000000000065,19832132.0,60113950.0,127410850.0,0.39472643,0.38109437,0.3775566,0.3940703,0.3859797,0.37648797,277.321,278.29138,284.15005,0.014404195,0.016067486,0.052432068,2025-12-01
55.0,22.200000000000067,19626748.0,59846904.0,126122780.0,0.39465204,0.3812602,0.3735706,0.3940576,0.3867915,0.3709559,277.26663,278.26038,284.11237,0.014270204,0.016738113,0.0535414,2025-12-01
55.0,22.300000000000068,19425784.0,59665784.0,124865290.0,0.3941854,0.3799871,0.36484307,0.39322534,0.3848643,0.35834676,277.2025,278.2451,284.09335,0.014151613,0.017361093,0.055112533,2025-12-01
55.0,22.40000000000007,19226166.0,59513710.0,123618770.0,0.39347902,0.37759247,0.3534403,0.39182663,0.3809255,0.3416689,277.134,278.2367,284.0881,0.01403721,0.017966632,0.056839474,2025-12-01
55.0,22.50000000000007,19072120.0,59214760.0,122854240.0,0.39370856,0.37697348,0.35099053,0.39181456,0.37987977,0.33804026,277.07913,278.20724,284.04672,0.01425724,0.01851493,0.05836205,2025-12-01
55.0,22.600000000000072,18935122.0,58859216.0,122273980.0,0.39423752,0.37733763,0.35152656,0.3923893,0.38050893,0.33900353,277.02762,278.1734,283.99808,0.014605181,0.019041954,0.059806123,2025-12-01
55.0,22.700000000000074,18842842.0,58355776.0,122175940.0,0.39785638,0.3827347,0.35555193,0.395888,0.38548127,0.34638977,276.9744,278.1283,283.93066,0.015285531,0.019505745,0.061049998,2025-12-01
55.0,22.800000000000075,18750286.0,57856120.0,122062240.0,0.4011046,0.38697764,0.35695377,0.39882088,0.3888575,0.34954834,276.91824,278.08597,283.8775,0.015918957,0.01997128,0.06225945,2025-12-01
55.0,22.900000000000077,18656982.0,57381810.0,121853730.0,0.4018345,0.38766783,0.35830688,0.39964738,0.38973948,0.3507287,276.87927,278.05563,283.85443,0.016275095,0.020452743,0.063275136,2025-12-01
55.0,23.000000000000078,18560210.0,56833732.0,121598260.0,0.40273538,0.38885295,0.36145365,0.40073776,0.39118856,0.35439867,276.83444,278.0164,283.80508,0.016454281,0.020801118,0.06419736,2025-12-01
55.0,23.10000000000008,18477326.0,56264160.0,121268540.0,0.40391222,0.3904724,0.36613712,0.40217718,0.39315644,0.36048102,276.78732,277.97015,283.73215,0.016575845,0.021088285,0.06513344,2025-12-01
55.0,23.20000000000008,18347654.0,55557504.0,120934190.0,0.40367636,0.38995463,0.36802083,0.40221658,0.39317882,0.36265072,276.71945,277.91455,283.6552,0.016218344,0.021176567,0.06574497,2025-12-01
55.0,23.300000000000082,18204740.0,54812390.0,120598504.0,0.40400314,0.39006856,0.3689915,0.40261588,0.39336395,0.36374345,276.6445,277.85556,283.58163,0.015726702,0.021208344,0.0662651,2025-12-01
55.0,23.400000000000084,18096056.0,54171896.0,120319550.0,0.40388808,0.3893092,0.3663842,0.40247026,0.39243013,0.36024526,276.57126,277.80994,283.52902,0.015351633,0.021248749,0.06681464,2025-12-01
