Lat,Lon,ssrd_lag1,ssrd_lag2,ssrd_lag3,swvl1_lag1,swvl1_lag2,swvl1_lag3,swvl2_lag1,swvl2_lag2,swvl2_lag3,t2m_lag1,t2m_lag2,t2m_lag3,tp_lag1,tp_lag2,tp_lag3,valid_time
55.0,10.5,26374960.0,57946732.0,111332140.0,0.36810076,0.36495513,0.33473748,0.36877102,0.35812023,0.3184411,279.44305,280.8787,285.60663,0.015341149,0.023521548,0.073830694,2025-12-01
55.0,10.6,26415656.0,57983484.0,111310340.0,0.36787924,0.36482492,0.33438897,0.36863595,0.35806477,0.3184849,279.43213,280.8779,285.59637,0.015336738,0.023586562,0.07385559,2025-12-01
55.0,12.0,28411362.0,60494504.0,119752570.0,0.3634248,0.36488038,0.33801714,0.3644963,0.36031595,0.3248532,279.27777,280.63635,285.3187,0.011381992,0.018314151,0.05610075,2025-12-01
55.0,12.1,28486064.0,60590810.0,119974560.0,0.36367515,0.36538237,0.33950216,0.36463362,0.3606257,0.32549262,279.2886,280.64008,285.30548,0.011485578,0.018848455,0.05562462,2025-12-01
55.0,12.3,28732284.0,61268530.0,121889250.0,0.24172804,0.2445465,0.22852498,0.24523586,0.24324799,0.21841627,279.39185,280.68018,285.27826,0.010893085,0.020912712,0.055053104,2025-12-01
55.0,12.4,28732284.0,61268530.0,121889250.0,0.24172804,0.2445465,0.22852498,0.24523586,0.24324799,0.21841627,279.39185,280.68018,285.27826,0.010893085,0.020912712,0.055053104,2025-12-01
55.0,15.0,29983612.0,65538340.0,135775140.0,0.351762,0.36117706,0.31525838,0.3519355,0.3567459,0.29957333,279.32993,280.7796,285.0663,0.011002311,0.028349979,0.059966918,2025-12-01
55.0,15.1,29983612.0,65538340.0,135775140.0,0.351762,0.36117706,0.31525838,0.3519355,0.3567459,0.29957333,279.32993,280.7796,285.0663,0.011002311,0.028349979,0.059966918,2025-12-01
55.0,21.3,24045988.0,59299070.0,132384820.0,0.39330998,0.38189545,0.38030365,0.39438263,0.3861679,0.37827376,277.31863,278.50433,284.10266,0.023485234,0.015608986,0.05178085,2025-12-01
55.0,21.4,23950524.0,59549576.0,132559220.0,0.39226392,0.3815333,0.37606713,0.39314893,0.38579914,0.37289676,277.32935,278.49542,284.15112,0.02140621,0.015204418,0.050496496,2025-12-01
55.0,21.5,23824308.0,59903656.0,132792616.0,0.3907239,0.38104656,0.36891225,0.39135346,0.3853007,0.3638537,277.3397,278.4867,284.2225,0.018502714,0.014659982,0.04873927,2025-12-01
55.0,21.6,23693616.0,60082520.0,132271000.0,0.3902164,0.38105774,0.36775208,0.39070696,0.3852778,0.3622717,277.33475,278.4705,284.24695,0.017141724,0.014652584,0.048561335,2025-12-01
55.0,21.7,23561728.0,60218624.0,131565460.0,0.38996547,0.38105112,0.3671752,0.39032942,0.38520813,0.36130401,277.32428,278.45316,284.26306,0.016157182,0.014775064,0.04876785,2025-12-01
55.0,21.8,23428754.0,60285870.0,130567030.0,0.3903916,0.38143107,0.37105635,0.39077985,0.3858968,0.36710775,277.29535,278.41248,284.22778,0.015768629,0.015115153,0.049592286,2025-12-01
55.0,21.9,23290622.0,60337690.0,129567280.0,0.39077136,0.38159588,0.3742228,0.39115962,0.38637492,0.37179172,277.26733,278.37463,284.20163,0.015359924,0.015440207,0.050422005,2025-12-01
55.0,22.0,23113296.0,60258900.0,128552424.0,0.39118278,0.38120472,0.37751672,0.391423,0.38589326,0.37638953,277.22452,278.327,284.17712,0.014782929,0.015638802,0.051312268,2025-12-01
55.0,22.1,22918562.0,60113950.0,127410850.0,0.39138907,0.38109437,0.3775566,0.39158517,0.3859797,0.37648797,277.17923,278.29138,284.15005,0.014442586,0.016067486,0.052432068,2025-12-01
55.0,22.2,22701818.0,59846904.0,126122780.0,0.39134443,0.3812602,0.3735706,0.39162868,0.3867915,0.3709559,277.1288,278.26038,284.11237,0.014307321,0.016738113,0.0535414,2025-12-01
55.0,22.3,22487030.0,59665784.0,124865290.0,0.39096522,0.3799871,0.36484307,0.3909477,0.3848643,0.35834676,277.07043,278.2451,284.09335,0.014187337,0.017361093,0.055112533,2025-12-01
55.0,22.4,22272724.0,59513710.0,123618770.0,0.39038256,0.37759247,0.3534403,0.3897609,0.3809255,0.3416689,277.00815,278.2367,284.0881,0.014071503,0.017966632,0.056839474,2025-12-01
55.0,22.5,22123198.0,59214760.0,122854240.0,0.39062217,0.37697348,0.35099053,0.3897818,0.37987977,0.33804026,276.9568,278.20724,284.04672,0.014291459,0.01851493,0.05836205,2025-12-01
55.0,22.6,21997934.0,58859216.0,122273980.0,0.39110988,0.37733763,0.35152656,0.3903108,0.38050893,0.33900353,276.90796,278.1734,283.99808,0.01463899,0.019041954,0.059806123,2025-12-01
55.0,22.7,21935984.0,58355776.0,122175940.0,0.3949585,0.3827347,0.35555193,0.3938723,0.38548127,0.34638977,276.85617,278.1283,283.93066,0.015319474,0.019505745,0.061049998,2025-12-01
55.0,22.8,21873650.0,57856120.0,122062240.0,0.39845616,0.38697764,0.35695377,0.39691728,0.3888575,0.34954834,276.8018,278.08597,283.8775,0.01595349,0.01997128,0.06225945,2025-12-01
55.0,22.9,21809532.0,57381810.0,121853730.0,0.39917952,0.38766783,0.35830688,0.39772204,0.38973948,0.3507287,276.76215,278.05563,283.85443,0.016311357,0.020452743,0.063275136,2025-12-01
